Title,Date,Description,Subjects,Location,Latitude,Longitude,Identifier,link,cdmid,Search
"Hercules Mine, Burke (Idaho)",,"A distant view of Hercules Mine in Burke, Idaho.",mines (extracting complexes); mine buildings; iron mines; silver mines; |  Hercules Mine (Idaho); Silver mines and mining--Idaho; Mines and mineral resources -- Idaho; Wooden-frame buildings; | Mining; Mine buildings;,Burke,47.542337,-115.808902,8-X00001a,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/0,0,"Hercules Mine, Burke (Idaho) |  | A distant view of Hercules Mine in Burke, Idaho. | mines (extracting complexes); mine buildings; iron mines; silver mines; |  Hercules Mine (Idaho); Silver mines and mining--Idaho; Mines and mineral resources -- Idaho; Wooden-frame buildings; | Mining; Mine buildings; | Burke"
"Little Pittsburg, Kellogg (Idaho)",,A snow covered setting with the sun shining through the trees shows the road that leads to Beebe Bros. Mine.,mines (extracting complexes); silver mines; | Mines and mineral resources -- Idaho; | Mining; Mine buildings;,Kellogg (Masonia),47.479804,-116.199539,8-X00004d,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/1,1,"Little Pittsburg, Kellogg (Idaho) |  | A snow covered setting with the sun shining through the trees shows the road that leads to Beebe Bros. Mine. | mines (extracting complexes); silver mines; | Mines and mineral resources -- Idaho; | Mining; Mine buildings; | Kellogg (Masonia)"
"Frisco Mill-Explosion, Gem (Idaho), 1892",1892-07-11,"View of the Frisco Mill-Explosion in Gem, Idaho after dynamite explosion set by Union Strikers.",buildings (structures); mills (buildings); railroads; explosions; | Debris; Wooden buildings;,Gem (Burke),47.507922,-115.869847,8-X00085,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/4,4,"Frisco Mill-Explosion, Gem (Idaho), 1892 | 1892-07-11 | View of the Frisco Mill-Explosion in Gem, Idaho after dynamite explosion set by Union Strikers. | buildings (structures); mills (buildings); railroads; explosions; | Debris; Wooden buildings; | Gem (Burke)"
"Frisco Mill-Explosion, Gem (Idaho), 1892",1892-07-11,"View of the Frisco Mill-Explosion in Gem, Idaho after dynamite explosion set by Union Strikers.",buildings (structures); mills (buildings); railroads; explosions; | Debris; Wooden buildings;,Gem (Burke),47.507932,-115.869857,8-X00086,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/5,5,"Frisco Mill-Explosion, Gem (Idaho), 1892 | 1892-07-11 | View of the Frisco Mill-Explosion in Gem, Idaho after dynamite explosion set by Union Strikers. | buildings (structures); mills (buildings); railroads; explosions; | Debris; Wooden buildings; | Gem (Burke)"
"Wallace (Idaho), Forest fire of 1910, Coeur d'Alene Hardware Warehouse",8/20/1910,"Image shows the debris from the Coeur d'Alene Hardware Warehouse on September 3, 1910 after  the fire on August 20, 1910 swept went through Wallace, Idaho.",fires; groups of people; railroads; business (commercial function); | Debris; Cities and towns; Men; Women;,Wallace,47.471576,-115.923782,8-X00087,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/6,6,"Wallace (Idaho), Forest fire of 1910, Coeur d'Alene Hardware Warehouse | 3885 | Image shows the debris from the Coeur d'Alene Hardware Warehouse on September 3, 1910 after  the fire on August 20, 1910 swept went through Wallace, Idaho. | fires; groups of people; railroads; business (commercial function); | Debris; Cities and towns; Men; Women; | Wallace"
"Wallace (Idaho), Wallace National Bank building, 1912",8/19/1912,"Exterior view of the Wallace National Bank in Wallace, Idaho on the corner of 6th and Cedar.  Caption on front: ""6th and Cedar""",banks (financial institutions); buildings (structures); groups of people; automobiles; business (commercial function); | Banks; Stone Buildings; Men; Women; Children; Automobiles;,Wallace,47.474095,-115.927939,8-X00048,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/7,7,"Wallace (Idaho), Wallace National Bank building, 1912 | 4615 | Exterior view of the Wallace National Bank in Wallace, Idaho on the corner of 6th and Cedar.  Caption on front: ""6th and Cedar"" | banks (financial institutions); buildings (structures); groups of people; automobiles; business (commercial function); | Banks; Stone Buildings; Men; Women; Children; Automobiles; | Wallace"
"Wallace (Idaho), Forest fire of 1910, Coeur d'Alene Hardware Warehouse",8/20/1910,"Image shows the debris from the Coeur d'Alene Hardware Warehouse on September 3, 1910 after  the fire on August 20, 1910 swept went through Wallace, Idaho.",fires; business (commercial function); | Debris; Buildings; Bricks; Cities and towns;,Wallace,47.471586,-115.923772,8-X00088,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/8,8,"Wallace (Idaho), Forest fire of 1910, Coeur d'Alene Hardware Warehouse | 3885 | Image shows the debris from the Coeur d'Alene Hardware Warehouse on September 3, 1910 after  the fire on August 20, 1910 swept went through Wallace, Idaho. | fires; business (commercial function); | Debris; Buildings; Bricks; Cities and towns; | Wallace"
"Wallace (Idaho), Forest fire of 1910, Brewery",8/20/1910,"Image shows the brewery in Wallace, Idaho after the fire of August 20, 1910.",fires; buildings (structures); business (commercial function); | Debris; Buildings; Bricks; Cities and towns;,Wallace,47.471615,-115.922218,8-X00089a,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/9,9,"Wallace (Idaho), Forest fire of 1910, Brewery | 3885 | Image shows the brewery in Wallace, Idaho after the fire of August 20, 1910. | fires; buildings (structures); business (commercial function); | Debris; Buildings; Bricks; Cities and towns; | Wallace"
"Wallace (Idaho), Forest fire of 1910",8/25/1910,"Image of Wallace, Idaho after the fire of August 20, 1910.",fires; buildings (structures); railroads; railroads cars; | Debris; Buildings; Bricks; Cities and towns;,Wallace,47.471605,-115.922208,8-X00089b,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/10,10,"Wallace (Idaho), Forest fire of 1910 | 3890 | Image of Wallace, Idaho after the fire of August 20, 1910. | fires; buildings (structures); railroads; railroads cars; | Debris; Buildings; Bricks; Cities and towns; | Wallace"
"Wallace (Idaho), Forest fire of 1910",1910,"Image of Wallace, Idaho after the fire of August 20, 1910.   Caption on front: ""General view from Samuel's Hotel, showing Oregon, Washington Railroad and Navigation station, August 20, 1910""",fires; buildings (structures); railroads; railroads cars; | Debris; Buildings; Bricks; Cities and towns;,Wallace,47.471625,-115.922228,8-X00090,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/11,11,"Wallace (Idaho), Forest fire of 1910 | 1910 | Image of Wallace, Idaho after the fire of August 20, 1910.   Caption on front: ""General view from Samuel's Hotel, showing Oregon, Washington Railroad and Navigation station, August 20, 1910"" | fires; buildings (structures); railroads; railroads cars; | Debris; Buildings; Bricks; Cities and towns; | Wallace"
"Wallace (Idaho), City Dairy",,Interior view of a dairy where cows being milked by machine.,dairy barns; business (commercial function); | Milking; Dairy cattle;,Wallace,47.473379,-115.923749,8-X00005a,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/12,12,"Wallace (Idaho), City Dairy |  | Interior view of a dairy where cows being milked by machine. | dairy barns; business (commercial function); | Milking; Dairy cattle; | Wallace"
"Wallace (Idaho), Forest fire of 1910, Samuel's Hotel",8/22/1910,"Image of Wallace, Idaho after the fire of August 20, 1910, shows the corner of Samuel's Hotel on August 22, 1910.",fires; buildings (structures); groups of people; wagons (cargo vehicles); | Horses; | Debris; Buildings; Bricks; Cities and towns; Men;,Wallace,47.471645,-115.922248,8-X00092,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/13,13,"Wallace (Idaho), Forest fire of 1910, Samuel's Hotel | 3887 | Image of Wallace, Idaho after the fire of August 20, 1910, shows the corner of Samuel's Hotel on August 22, 1910. | fires; buildings (structures); groups of people; wagons (cargo vehicles); | Horses; | Debris; Buildings; Bricks; Cities and towns; Men; | Wallace"
"Wallace (Idaho), Forest fire of 1910",8/22/1910,"Image of Wallace, Idaho after the fire of August 20, 1910.",fires; buildings (structures); groups of people; | Debris; Buildings; Bricks; Cities and towns; Men; Women;,Wallace,47.471635,-115.922238,8-X00091a,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/14,14,"Wallace (Idaho), Forest fire of 1910 | 3887 | Image of Wallace, Idaho after the fire of August 20, 1910. | fires; buildings (structures); groups of people; | Debris; Buildings; Bricks; Cities and towns; Men; Women; | Wallace"
"Wallace (Idaho), Flood of 1896",1896,"Image is of Wallace, Idaho after the flood of 1896.  Caption on front:"" Results of flood on placer creek, Wallace, Idaho late in November 1896. Similar flood occurred late in January, 1894 but no photos available. These were flash floods as result of deep snow, heavy rains, Chinook winds that removed the snow very fast",buildings (structures); groups of people; floods (natural events); | Debris; Wooden Buildings; Cities and towns; Men; Women;,Wallace,47.475761,-115.931272,8-X00093,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/15,15,"Wallace (Idaho), Flood of 1896 | 1896 | Image is of Wallace, Idaho after the flood of 1896.  Caption on front:"" Results of flood on placer creek, Wallace, Idaho late in November 1896. Similar flood occurred late in January, 1894 but no photos available. These were flash floods as result of deep snow, heavy rains, Chinook winds that removed the snow very fast | buildings (structures); groups of people; floods (natural events); | Debris; Wooden Buildings; Cities and towns; Men; Women; | Wallace"
"Wallace (Idaho), Flood of 1906",11/15/1906,"Image is of Wallace, Idaho after the Canyon Creek flood November 15, 1906.",buildings (structures); floods (natural events); | Debris; Wooden Buildings; Cities and towns;,Wallace,47.472115,-115.915994,8-X00094,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/16,16,"Wallace (Idaho), Flood of 1906 | 2511 | Image is of Wallace, Idaho after the Canyon Creek flood November 15, 1906. | buildings (structures); floods (natural events); | Debris; Wooden Buildings; Cities and towns; | Wallace"
"Wallace (Idaho), Flood of 1897",1897,"Image is of Wallace, Idaho after the flood of 1897.",buildings (structures); dwellings; floods (natural events); | Debris; Wooden Buildings; Cities and towns;,Wallace,47.475772,-115.931287,8-X00095a,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/17,17,"Wallace (Idaho), Flood of 1897 | 1897 | Image is of Wallace, Idaho after the flood of 1897. | buildings (structures); dwellings; floods (natural events); | Debris; Wooden Buildings; Cities and towns; | Wallace"
Coeur d'Alene cut off,,Image shows a scenic view of the N.P. [Northern Pacific] train on the South bridge.,railroads bridges; steam locomotives; | Mine railroad trains; Railroad tracks; | Steam engines; Railroad bridges;,Coeur d'Alene,,,8-X00049a,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/18,18,Coeur d'Alene cut off |  | Image shows a scenic view of the N.P. [Northern Pacific] train on the South bridge. | railroads bridges; steam locomotives; | Mine railroad trains; Railroad tracks; | Steam engines; Railroad bridges; | Coeur d'Alene
