title,description,url,cdmid,collection
"Hercules Mine, Burke (Idaho)","A distant view of Hercules Mine in Burke, Idaho.",http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/0,0,bar-stock
"Little Pittsburg, Kellogg (Idaho)",A snow covered setting with the sun shining through the trees shows the road that leads to Beebe Bros. Mine.,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/1,1,bar-stock
"Certificate of Citizenship for Joseph Abicor, 1913",Image is a copy of the citizenship certificate for Joseph Arbicor.,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/2,2,bar-stock
"Certificate of Citizenship for Joseph Abicor, 1913",Image is a copy of the citizenship certificate for Joseph Arbicor.,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/3,3,bar-stock
"Frisco Mill-Explosion, Gem (Idaho), 1892","View of the Frisco Mill-Explosion in Gem, Idaho after dynamite explosion set by Union Strikers.",http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/4,4,bar-stock
"Frisco Mill-Explosion, Gem (Idaho), 1892","View of the Frisco Mill-Explosion in Gem, Idaho after dynamite explosion set by Union Strikers.",http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/5,5,bar-stock
"Wallace (Idaho), Forest fire of 1910, Coeur d'Alene Hardware Warehouse","Image shows the debris from the Coeur d'Alene Hardware Warehouse on September 3, 1910 after  the fire on August 20, 1910 swept went through Wallace, Idaho.",http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/6,6,bar-stock
"Wallace (Idaho), Wallace National Bank building, 1912","Exterior view of the Wallace National Bank in Wallace, Idaho on the corner of 6th and Cedar.  Caption on front: """"6th and Cedar""""",http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/7,7,bar-stock
"Wallace (Idaho), Forest fire of 1910, Coeur d'Alene Hardware Warehouse","Image shows the debris from the Coeur d'Alene Hardware Warehouse on September 3, 1910 after  the fire on August 20, 1910 swept went through Wallace, Idaho.",http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/8,8,bar-stock
"Wallace (Idaho), Forest fire of 1910, Brewery","Image shows the brewery in Wallace, Idaho after the fire of August 20, 1910.",http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/9,9,bar-stock
"Wallace (Idaho), Forest fire of 1910","Image of Wallace, Idaho after the fire of August 20, 1910.",http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/10,10,bar-stock
"Wallace (Idaho), Forest fire of 1910","Image of Wallace, Idaho after the fire of August 20, 1910.   Caption on front: """"General view from Samuel's Hotel, showing Oregon, Washington Railroad and Navigation station, August 20, 1910""""",http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/11,11,bar-stock
"Wallace (Idaho), City Dairy",Interior view of a dairy where cows being milked by machine.,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/12,12,bar-stock
"Wallace (Idaho), Forest fire of 1910, Samuel's Hotel","Image of Wallace, Idaho after the fire of August 20, 1910, shows the corner of Samuel's Hotel on August 22, 1910.",http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/13,13,bar-stock
"Wallace (Idaho), Forest fire of 1910","Image of Wallace, Idaho after the fire of August 20, 1910.",http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/14,14,bar-stock
"Wallace (Idaho), Flood of 1896","Image is of Wallace, Idaho after the flood of 1896.  Caption on front: """""""" Results of flood on placer creek, Wallace, Idaho late in November 1896. Similar flood occurred late in January, 1894 but no photos available. These were flash floods as result of deep snow, heavy rains, Chinook winds that removed the snow very fast",http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/15,15,bar-stock
