name,uni,coll,header,image,p,d,a,n,pic
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n23012,Animal & Veterinary Science,http://vivo.nkn.uidaho.edu/individual/pid57409,"Ahmadzadeh, Amin ",/file/n54226/thumbnail_Amin.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n140645,Soil and Water Systems,http://vivo.nkn.uidaho.edu/individual/n31264,"Allen, Richard G",/file/n114041/thumbnail_1200x1200-rick-allen.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n62022,Agricultural and Extension Education,http://vivo.nkn.uidaho.edu/individual/n101523,"Anderson, Erik T",/file/n138736/thumbnail_1200x1200-erik-anderson.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n29953,Food Science,http://vivo.nkn.uidaho.edu/individual/n8528,Barbara A Rasco,/file/n44912/thumbnail_Barb-Rasco-interim-chair-for-web1.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n436182,"Entomology, Plant Pathology and Nematology",http://vivo.nkn.uidaho.edu/individual/n7220,"Barbour, James D",/file/n1838059/thumbnail_1200x1200-james-barbour.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n55529,Family & Consumer Science,http://vivo.nkn.uidaho.edu/individual/n88856,"Becker, Hydee ",/file/n79405/thumbnail_1200x1200-hydee-becker.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n29953,Food Science,http://vivo.nkn.uidaho.edu/individual/n1767905922,"Bohach, Carolyn Hovde",/file/n290395/thumbnail_1200x1200-carolyn-bohach.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n436182,"Entomology, Plant Pathology and Nematology",http://vivo.nkn.uidaho.edu/individual/n5171,"Bosque-Pérez, Nilsa A",/file/n48751/thumbnail_1200x1200-nilsa-bosque-perez.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n62022,Agricultural and Extension Education,http://vivo.nkn.uidaho.edu/individual/n123822,"Brasche, Carmen ",/file/n83169/thumbnail_unknown-person.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n140645,Soil and Water Systems,http://vivo.nkn.uidaho.edu/individual/n45006,"Brooks, Erin S",/file/n33501/thumbnail_EBrooks.jpg
